"region","value"
13013,1750
13015,0
13019,0
13021,7000
13031,7000
13045,14000
13047,3500
13051,0
13055,0
13057,14000
13059,8750
13063,7000
13067,28000
13069,0
13071,10500
13073,3500
13077,0
13087,0
13089,31500
13091,5250
13097,0
13105,10500
13107,0
13111,0
13113,3500
13115,0
13117,17500
13119,0
13121,63000
13123,0
13127,14000
13129,0
13133,0
13135,71750
13139,29750
13145,0
13151,7000
13153,19250
13157,3500
13185,0
13187,7000
13195,7000
13201,0
13205,0
13215,7000
13217,0
13219,0
13223,3500
13227,3500
13229,3500
13231,3500
13233,0
13235,7000
13241,3500
13245,0
13247,0
13253,3500
13261,0
13263,3500
13275,3500
13277,0
13279,0
13281,7000
13285,3500
13291,0
13299,0
13305,0
13309,0
13311,0
13313,10500
13317,0
