"zip","zip5","n","value"
"30005","30005-3574",1,0
"30008","30008-3518",1,3500
"30008","30008-5064",1,0
"30013","30013-6731",1,0
"30014","30014-2765",1,0
"30014","30014-9017",1,0
"30016","30016-0225",1,0
"30017","30017-1140",1,0
"30017","30017-4948",1,0
"30019","30019",2,0
"30019","30019-1389",1,0
"30019","30019-2196",1,0
"30021","30021-1378",1,0
"30021","30021-2219",1,0
"30022","30022",1,0
"30022","30022-1459",1,0
"30022","30022-6697",1,7000
"30024","30024-2788",1,3500
"30024","30024-3485",1,0
"30024","30024-3693",1,0
"30024","30024-4453",1,0
"30024","30024-5333",1,0
"30024","30024-6416",1,7000
"30024","30024-6645",1,0
"30028","30028-5989",1,3500
"30034","30034-5514",1,3500
"30035","30035-1623",1,0
"30035","30035-1645",1,0
"30035","30035-2215",1,3500
"30041","30041",2,10500
"30041","30041-5714",2,3500
"30041","30041-6593",1,0
"30043","30043-5170",1,3500
"30043","30043-7337",1,0
"30043","30043-8197",1,0
"30044","30044-2743",1,0
"30044","30044-3869",1,5250
"30044","30044-8117",1,3500
"30046","30046",1,7000
"30046","30046-6392",1,0
"30047","30047",3,3500
"30047","30047-3060",1,0
"30047","30047-3608",1,3500
"30047","30047-4338",1,0
"30047","30047-5128",1,0
"30047","30047-6709",1,0
"30047","30047-7434",1,0
"30047","30047-8964",1,0
"30062","30062-6352",1,0
"30066","30066-2321",1,3500
"30066","30066-2550",1,3500
"30067","30067",1,0
"30071","30071",1,0
"30071","30071-2764",1,0
"30075","30075",2,7000
"30075","30075-2578",1,0
"30078","30078-5818",1,7000
"30080","30080-2724",1,0
"30083","30083",1,0
"30087","30087",1,0
"30087","30087-4277",1,7000
"30087","30087-5332",1,3500
"30088","30088-3521",1,0
"30094","30094-5618",1,0
"30096","30096",2,7000
"30096","30096-1823",1,0
"30096","30096-5207",1,0
"30096","30096-8744",1,0
"30096","30096-9256",1,0
"30097","30097",1,7000
"30097","30097-1902",1,0
"30097","30097-4376",1,0
"30097","30097-4800",1,3500
"30097","30097-8064",1,0
