"zip","zip5","n","value","region","county.fips.character","county.name","state.name","state.fips.character","state.abb","city","state","latitude","longitude"
"30005","30005-3574",1,0,13121,"13121","fulton","georgia","13","GA","Alpharetta","GA",34.080035,-84.21929
"30008","30008-3518",1,3500,13067,"13067","cobb","georgia","13","GA","Marietta","GA",33.907336,-84.5788
"30008","30008-5064",1,0,13067,"13067","cobb","georgia","13","GA","Marietta","GA",33.907336,-84.5788
"30013","30013-6731",1,0,13247,"13247","rockdale","georgia","13","GA","Conyers","GA",33.633685,-83.98382
"30014","30014-2765",1,0,13217,"13217","newton","georgia","13","GA","Covington","GA",33.581406,-83.851
"30014","30014-9017",1,0,13217,"13217","newton","georgia","13","GA","Covington","GA",33.581406,-83.851
"30016","30016-0225",1,0,13217,"13217","newton","georgia","13","GA","Covington","GA",33.542118,-83.93372
"30017","30017-1140",1,0,13135,"13135","gwinnett","georgia","13","GA","Grayson","GA",33.888829,-83.96848
"30017","30017-4948",1,0,13135,"13135","gwinnett","georgia","13","GA","Grayson","GA",33.888829,-83.96848
"30019","30019",2,0,13135,"13135","gwinnett","georgia","13","GA","Dacula","GA",33.981721,-83.88302
"30019","30019-1389",1,0,13135,"13135","gwinnett","georgia","13","GA","Dacula","GA",33.981721,-83.88302
"30019","30019-2196",1,0,13135,"13135","gwinnett","georgia","13","GA","Dacula","GA",33.981721,-83.88302
"30021","30021-1378",1,0,13089,"13089","dekalb","georgia","13","GA","Clarkston","GA",33.809604,-84.2387
"30021","30021-2219",1,0,13089,"13089","dekalb","georgia","13","GA","Clarkston","GA",33.809604,-84.2387
"30022","30022",1,0,13121,"13121","fulton","georgia","13","GA","Alpharetta","GA",34.026238,-84.24506
"30022","30022-1459",1,0,13121,"13121","fulton","georgia","13","GA","Alpharetta","GA",34.026238,-84.24506
"30022","30022-6697",1,7000,13121,"13121","fulton","georgia","13","GA","Alpharetta","GA",34.026238,-84.24506
"30024","30024-2788",1,3500,13135,"13135","gwinnett","georgia","13","GA","Suwanee","GA",34.052698,-84.07485
"30024","30024-3485",1,0,13135,"13135","gwinnett","georgia","13","GA","Suwanee","GA",34.052698,-84.07485
"30024","30024-3693",1,0,13135,"13135","gwinnett","georgia","13","GA","Suwanee","GA",34.052698,-84.07485
"30024","30024-4453",1,0,13135,"13135","gwinnett","georgia","13","GA","Suwanee","GA",34.052698,-84.07485
"30024","30024-5333",1,0,13135,"13135","gwinnett","georgia","13","GA","Suwanee","GA",34.052698,-84.07485
"30024","30024-6416",1,7000,13135,"13135","gwinnett","georgia","13","GA","Suwanee","GA",34.052698,-84.07485
"30024","30024-6645",1,0,13135,"13135","gwinnett","georgia","13","GA","Suwanee","GA",34.052698,-84.07485
"30028","30028-5989",1,3500,13117,"13117","forsyth","georgia","13","GA","Cumming","GA",34.193041,-84.092588
"30034","30034-5514",1,3500,13089,"13089","dekalb","georgia","13","GA","Decatur","GA",33.693448,-84.24743
"30035","30035-1623",1,0,13089,"13089","dekalb","georgia","13","GA","Decatur","GA",33.725739,-84.21114
"30035","30035-1645",1,0,13089,"13089","dekalb","georgia","13","GA","Decatur","GA",33.725739,-84.21114
"30035","30035-2215",1,3500,13089,"13089","dekalb","georgia","13","GA","Decatur","GA",33.725739,-84.21114
"30041","30041",2,10500,13117,"13117","forsyth","georgia","13","GA","Cumming","GA",34.201503,-84.09764
"30041","30041-5714",2,3500,13117,"13117","forsyth","georgia","13","GA","Cumming","GA",34.201503,-84.09764
"30041","30041-6593",1,0,13117,"13117","forsyth","georgia","13","GA","Cumming","GA",34.201503,-84.09764
"30043","30043-5170",1,3500,13135,"13135","gwinnett","georgia","13","GA","Lawrenceville","GA",34.001159,-84.01487
"30043","30043-7337",1,0,13135,"13135","gwinnett","georgia","13","GA","Lawrenceville","GA",34.001159,-84.01487
"30043","30043-8197",1,0,13135,"13135","gwinnett","georgia","13","GA","Lawrenceville","GA",34.001159,-84.01487
